blockNumber,timestamp,msg.sender,pool,token0,token1,transactionHash,token0_symbol,token0_name,token1_symbol,token1_name
12371099,1620175942,0xfe32A37F15ee4a4b59715530E5817D1322B9df80,0xe8c6c9227491C0a8156A0106A0204d881BB7E531,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdf67576e2ce0f1b35b87544904db3f0bab063c105a78c110dcb3ff1f590499e8,,,WETH,Wrapped Ether
12371145,1620176780,0xfe32A37F15ee4a4b59715530E5817D1322B9df80,0x8581788CEF3B7ee7313FEA15FE279Dc2f6c43899,0x6243d8CEA23066d098a15582d81a598b4e8391F4,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xa9a4a1e6ea00da915738cd0fa4c55ac75cb9ed98bbd153a890b4a964d044b343,FLX,Flex Ungovernance Token,WETH,Wrapped Ether
12371220,1620177708,0xfe32A37F15ee4a4b59715530E5817D1322B9df80,0x14DE8287AdC90f0f95Bf567C0707670de52e3813,0x03ab458634910AaD20eF5f1C8ee96F1D6ac54919,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x7bbc0b473db4694f88fb27949857263491b821ca2e58637c3489a7a085c11572,RAI,Rai Reflex Index,WETH,Wrapped Ether
12371524,1620181858,0x3b8ccaa89FcD432f1334D35b10fF8547001Ce3e5,0x0dc9877F6024CCf16a470a74176C9260beb83AB6,0x03ab458634910AaD20eF5f1C8ee96F1D6ac54919,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xbc30b59c703d0dcce1a277c18e3f1c3bc1c92c8f69aaa89785bbaaea23999468,RAI,Rai Reflex Index,WETH,Wrapped Ether
12372402,1620193312,0x5322ee73377E804a5b0B678A8D395772842CE261,0x151CcB92bc1eD5c6D0F9Adb5ceC4763cEb66AC7f,0xAa6E8127831c9DE45ae56bB1b0d4D4Da6e5665BD,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x9cadae346eda5ad8f02009ab3feb63b64a8f4e93e467b4c4cff1021a7b3100be,ETH2x-FLI,ETH 2x Flexible Leverage Index,WETH,Wrapped Ether
12375267,1620231914,0x4bD047CA72fa05F0B89ad08FE5Ba5ccdC07DFFBF,0xcB0C5d9D92f4F2F80cce7aa271a1E148c226e19D,0x03ab458634910AaD20eF5f1C8ee96F1D6ac54919,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x7bb7f8f4dff592222491c182422cecabe3f7b14054498a90933900724a3c1138,RAI,Rai Reflex Index,DAI,Dai Stablecoin
12375326,1620232628,0xE14722B5f1aa6ea161E547c5ca598068Ec1B3bC0,0x4e68Ccd3E89f51C3074ca5072bbAC773960dFa36,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x2e07c690f149223e4f290986277304ea6a05c6ee47ba303732166bc1b15cbafb,WETH,Wrapped Ether,USDT,Tether USD
12375644,1620236624,0x726022a9fe1322fA9590FB244b8164936bB00489,0x5aB53EE1d50eeF2C1DD3d5402789cd27bB52c1bB,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xb24cf9a7e1295aa934e4b8dc2dde0b9e2665f0b1a1addda8936c2408575d06b9,AAVE,Aave Token,WETH,Wrapped Ether
12375680,1620237038,0x726022a9fe1322fA9590FB244b8164936bB00489,0xa6Cc3C2531FdaA6Ae1A3CA84c2855806728693e8,0x514910771AF9Ca656af840dff83E8264EcF986CA,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xda40ec72e0aafd1aa0521b3eb4b20f4b3ec1f4e6b89da410ddb48afd61ebcf8c,LINK,ChainLink Token,WETH,Wrapped Ether
12375729,1620237603,0xd978f6AE3377C1A2Bd74741adA0398B7FE16BA01,0x3FE55D440adb6e07fa8e69451f5511D983882487,0x30BCd71b8d21FE830e493b30e90befbA29de9114,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x1cb18cef5563b1490b516a6b30e443c51edcd70fb71677f8c339bb1a70fbac29,🐟,Penguin Party Fish,WETH,Wrapped Ether
12375738,1620237823,0x9D31e30003f253563Ff108BC60B16Fdf2c93abb5,0x60594a405d53811d3BC4766596EFD80fd545A270,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf35783634dec2637b9aba3d1ab38025be8d1571276fe58c2629aab2d015cfd70,DAI,Dai Stablecoin,WETH,Wrapped Ether
12375752,1620237966,0x7Ab955914F2E26f7c11A51039Ed42c9b92465b87,0x2efeC2097beede290B2eED63e2FAf5ECbBC528FC,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf65B5C5104c4faFD4b709d9D60a185eAE063276c,0x0e7853e70a2cf05060ee9a5a69031c41accc393fe6c2ba2f11be2ccf4a9c6a17,WETH,Wrapped Ether,TRU,Truebit
12375778,1620238284,0x057fcD7BD66e0b0e7CBF387D12b2A49A20d30922,0x788f0399b9f012926e255D9F22ceea845b8f7a32,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf418588522d5dd018b425E472991E52EBBeEEEEE,0xae455e70f0bbdb7c2819e38c6ee9c34775d8217d5ba58cd3f1104d6c8a023066,WETH,Wrapped Ether,PUSH,Ethereum Push Notification Service
12375837,1620239057,0xb7430de9B4D8e5cDB951019d7651cD5fda630498,0xbb256c2F1B677e27118b0345FD2b3894D2E6D487,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x9e549f80181f77301f2ab5526a114e8c2d24ddfa65fb055a589e0723ae3d637a,USDC,USD Coin,USDT,Tether USD
12375847,1620239157,0x9D31e30003f253563Ff108BC60B16Fdf2c93abb5,0x5447b274859457f11D7cc7131B378363bBee4E3A,0x86772b1409b61c639EaAc9Ba0AcfBb6E238e5F83,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x8d74bb898c179230763cd9b2af21f293745abf623ac8e01082056a22f025a4c4,NDX,Indexed,WETH,Wrapped Ether
12375874,1620239567,0x4DbE965AbCb9eBc4c6E9d95aEb631e5B58E70d5b,0x19E286157200418d6A1f7D1df834b82E65C920AA,0x6B3595068778DD592e39A122f4f5a5cF09C90fE2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd95a8537caffa5c9c19bbc6fd7788588d9bbfb7db591623e79c3add2121bcb1d,SUSHI,SushiToken,WETH,Wrapped Ether
12375885,1620239643,0x84754A7103308dDf8bAca5072D165773353E1055,0xFAaCE66BD25abFF62718AbD6DB97560E414eC074,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xFca59Cd816aB1eaD66534D82bc21E7515cE441CF,0xa41a004c2e5419d6359620ba52ca65ba3d4605e7e20640eeb09efe0e2eb85dc5,WETH,Wrapped Ether,RARI,Rarible
12375890,1620239699,0x3Ed2654C1B2E34dc4826cEd74C393869D369c027,0x82bd0E16516F828A0616038002E152AA6F27AEdc,0x5d3a536E4D6DbD6114cc1Ead35777bAB948E3643,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x88136c01af654d8c0c3f11a0227a1f1eae9e71aa224212bd28b9ad93ac94bb09,cDAI,Compound Dai,WETH,Wrapped Ether
12375916,1620240133,0xEB4BD5231274aA4C2B97a4fA06bAD9eCFCdad5E0,0x2A84E2BD2E961b1557D6e516cA647268b432cbA4,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,0x74165c4cbeb4dadfd7822c80c39f1adcbe11989177a45f882f9e420679419fda,DAI,Dai Stablecoin,,
12375922,1620240175,0xE31aF6c4299916C32863B9b7bA35482C57f92f40,0x32A2c4C25BABEdC810fa466ab0F0C742Df3A3555,0x63b4f3e3fa4e438698CE330e365E831F7cCD1eF4,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x680ac698002aa1638360d5a84879e1e952cedc81bf1e8f78fc23de388f14686d,CFi,CyberFi Token,WETH,Wrapped Ether
12375929,1620240264,0x3938F63158De24fDEDB8f8953dB13Bd581118F89,0xeFbd546647FDA46067225bD0221e08bA91071584,0x17EF75AA22dD5f6C2763b8304Ab24f40eE54D48a,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x9ddfe0987c110df64f50bf5808fc874bc96f32cda8e062c685183a8786f91cd4,RVP,RevolutionPopuli ERC20 Token,WETH,Wrapped Ether
12375947,1620240623,0x35a214b13c9E223B8D511f343aC8Fa94293233a1,0x86E69D1AE728c9Cd229F07bBf34E01bF27258354,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf65B5C5104c4faFD4b709d9D60a185eAE063276c,0x66168913bd22ea23e6c55cce591724009e98f0ad1836ec9f9713f1da266969b6,WETH,Wrapped Ether,TRU,Truebit
12375960,1620240784,0xb08F95dbC639621DbAf48A472AE8Fce0f6f56a6e,0x3482296547783CB714c49E13717cD163b2951ba8,0x61CEAc48136d6782DBD83c09f51E23514D12470a,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x2a1876d338d5167ec8df6f13964fee65dca6aa64ebe6a08ee9bcf0ca0dc88e23,Subs,Subscriptions,DAI,Dai Stablecoin
12375964,1620240807,0x48dbB9B7B562ACf3c38E53deAfF4686e24c3D85D,0xAE614a7a56cB79c04Df2aeBA6f5dAB80A39CA78E,0x0D8775F648430679A709E98d2b0Cb6250d2887EF,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x549c8732f7933739e39ff78565782f08f116c125c608a596b6c39363e04d562a,BAT,Basic Attention Token,WETH,Wrapped Ether
12375966,1620240827,0xcfc50541c3dEaf725ce738EF87Ace2Ad778Ba0C5,0x2552018fA2768fD0Af10d32a4C38586A9BadE6CE,0x70401dFD142A16dC7031c56E862Fc88Cb9537Ce0,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xfb14fa34ef9a3781e91c6b793ef297cff22446624db388e39db332f2236a011d,BIRD,Bird.Money,USDC,USD Coin
12375968,1620240854,0x62fC30839a188e58Cc127a859F2C305f562F464d,0x07AA6584385cCA15C2c6e13A5599fFc2D177E33b,0x469eDA64aEd3A3Ad6f868c44564291aA415cB1d9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc7fc8e79af029244c373950949828576455b7329e9c0b9b03e369e2191876cc8,FLUX,FLUX,WETH,Wrapped Ether
12375969,1620240859,0xf3f59914C371fDd88a47bd2dFcCD56545e63028d,0x3139bbbA7f4B9125595cB4eBeefdaC1fCe7Ab5f1,0x3155BA85D5F96b2d030a4966AF206230e46849cb,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x741c258a26a7a633a142ceb6f49eecc3c33942fcbe10d4d5cd1ed0e02dd0b4d8,RUNE,THORChain ETH.RUNE,WETH,Wrapped Ether
12375974,1620240931,0x11e52c75998fe2E7928B191bfc5B25937Ca16741,0x7DdC2C3d12A9212112e5f99602AB16C338ec1116,0x8eB24319393716668D768dCEC29356ae9CfFe285,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdf2677380a109c4453c1f4b64efb792571cdc40ddd55ddc0b0c436bdce9e25e6,AGI,SingularityNET Token,WETH,Wrapped Ether
12375977,1620240957,0x22fa8Cc33a42320385Cbd3690eD60a021891Cb32,0x3CEC6746Ebd7658F58E5d786e0999118Fea2905C,0x87d73E916D7057945c9BcD8cdd94e42A6F47f776,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x2a1bdf0a79e9f52196ef00d3c1ed88194b77f543ae1cfedc258d5845723d9928,NFTX,NFTX,WETH,Wrapped Ether
12375980,1620240982,0x721931508DF2764fD4F70C53Da646Cb8aEd16acE,0x85498E26aa6b5C7C8aC32ee8e872D95fb98640c4,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xE2311ae37502105b442bBef831E9b53c5d2e9B3b,0xb673d50457cf55c54027570b7411484fd7b476bc4ec09e5f6199d5ae4bf0c7c0,WETH,Wrapped Ether,BANANA,Banana
12375982,1620241021,0x35a214b13c9E223B8D511f343aC8Fa94293233a1,0x5EB5dC3d8C74413834f1Ca65C3412f48cD1C67A6,0x9b00e6E8D787b13756eb919786c9745054DB64f9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xad684187f4ebce60396f2da6a3faca605962c854ff1dda5e54a4898e43dec012,wSIENNA,Sienna (ERC20),WETH,Wrapped Ether
12375991,1620241199,0x05Ab4c6AB83658e88ff785Ca1E78d1519762BaDb,0x35815D67f717e7BcE9cc8519bDc80323ECf7d260,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x6da880d347108230195847f4e6dfcfd36de18431785f2e0f8f6a0967a62ebd55,BNT,Bancor Network Token,WETH,Wrapped Ether
12375996,1620241290,0xf8D56B6B94Bd2A7f4915270f57bF66843Ac3894F,0x4628a0A564DEBFc8798eb55DB5c91f2200486c24,0x6De037ef9aD2725EB40118Bb1702EBb27e4Aeb24,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x4fb63c64416bfa96f105c4a137214d7c4e668a38cbdcf19867a2a1d891d73030,RNDR,Render Token,WETH,Wrapped Ether
12376003,1620241375,0xf9732bCF66f88F137b726664a24Df9d3F0DA2cC4,0x2356b745747Ed77191844c025EdDc894fCe5F5F6,0xad1b76e3C019359BF78b6ab5E0f84E3488FfC2A2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x744f0d0a66261d15bfbe4c82a69f4f1507b9ad5df5b722146cc388b048ebabc7,UNI-V3,Uniswap V3 Governance Token,WETH,Wrapped Ether
12376019,1620241609,0x49A3DE1241d9Cd15eb5615A4aAaBa41ad4cc536b,0xEDe8dd046586d22625Ae7fF2708F879eF7bdb8CF,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xfd3738e8e7eb019a6af4b9488ad6e744634308d4b964cb980f3f977f68f7bc0c,SNX,Synthetix Network Token,WETH,Wrapped Ether
12376022,1620241619,0x4c1cD81c0f638CE78B81D8F2b9E6971187aEb582,0xa80964C5bBd1A0E95777094420555fead1A26c1e,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xa6b115722881920ddcf07c06dd526b2b17cc4bcd2bc41f05c32f5e0998b8579b,DAI,Dai Stablecoin,WETH,Wrapped Ether
12376023,1620241625,0x721931508DF2764fD4F70C53Da646Cb8aEd16acE,0xBfA7b27ac817D57F938541E0e86dbEC32a03CE53,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xEC0A0915A7c3443862B678B0d4721C7aB133FDCf,0x5c3ecefa37ca2fdc9681938ab3a39e83a7977a0c263bd8eab4363d847194c5a8,WETH,Wrapped Ether,WOA,Wrapped Origin Axie
12376027,1620241687,0x3c92E144062297cFD08a5a9BAaB59AaabD3231F3,0xdceaf5d0E5E0dB9596A47C0c4120654e80B1d706,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x72ccc2da430b2ad710b61daca2607a81517ac16c46b120b2f4a03e03283bc27c,AAVE,Aave Token,USDC,USD Coin
12376028,1620241691,0x26139FD1b2665eCefC7100966513886639fB0241,0x2F62f2B4c5fcd7570a709DeC05D68EA19c82A9ec,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x4d9b7d08e7936d73a4583dc6922cbe5cf88156c82e397d466fbff313a6dc0595,SHIB,SHIBA INU,WETH,Wrapped Ether
12376033,1620241747,0xC6C7E6B7e463F6b4F5849D0e6Ecd95194b8A85EC,0xB2cd930798eFa9B6CB042F073A2CcEa5012E7AbF,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xE4AB53aC2f495C0AC210Ddf01A5f7B598809c3Bc,0x252f74af7f84f168af00938ba8eaf34645978ba37498233965d4704297a2cad4,WETH,Wrapped Ether,DOGE,DogeCoin
12376034,1620241749,0x3Ed2654C1B2E34dc4826cEd74C393869D369c027,0x5c0f97E0Ed70E0163b799533CE142F650e39A3e6,0x5d3a536E4D6DbD6114cc1Ead35777bAB948E3643,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x3291bec3f5e9a0a4fe45bdc2a5ecbba27bd9412bf1df2c6fb06ebbb0d6a9ca79,cDAI,Compound Dai,WETH,Wrapped Ether
12376035,1620241765,0x3c92E144062297cFD08a5a9BAaB59AaabD3231F3,0xF15054BC50c39ad15FDC67f2AedD7c2c945ca5f6,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xc00e94Cb662C3520282E6f5717214004A7f26888,0xb958b4c0e67a204957d407546fdf1f5b641b5068a3395c28c0f72c8aac095f76,USDC,USD Coin,COMP,Compound
12376036,1620241768,0x373080BE72Dd67cddfdc0D5e0fbE3f7c0c126e8A,0x28aF48a3468Bc4A00221cd35e10B746B9F945B14,0x84679bc467DC6c2c40ab04538813AfF3796351f1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf020ede564ac5c08fbf85dccb8f26864823e7449d277f6c361f38d023a83851d,CHONK,CHONK,WETH,Wrapped Ether
12376038,1620241791,0xeeBa61830dAD9a6D53058DfeB26E7acC42d00D6D,0xc3881FBB90daf3066dA30016d578eD024027317c,0x9F9c8ec3534c3cE16F928381372BfbFBFb9F4D24,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x75c4ec1c87def0fe0cdd096f716da6be640ebfbe6df65c22535a60cf42685a01,GLQ,GraphLinq,WETH,Wrapped Ether
12376039,1620241796,0xA9792c1A6f2fBfda2950bC00Eb6f6ddd18633c33,0xc2cEAA15E6120D51daac0c90540922695Fcb0fC7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xCDb9D30a3BA48CdfCB0EcbE19317E6cf783672f1,0x9a7f83c6e793d6b60157a67f04f76bb6dfd2bc5bcc04c8013016edfd6ceba2ab,WETH,Wrapped Ether,MNDCC,Mondo Community Coin
12376048,1620241995,0x3c92E144062297cFD08a5a9BAaB59AaabD3231F3,0x99ac8cA7087fA4A2A1FB6357269965A2014ABc35,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x2acb44ed240131e3a05eacc0ee870bdf93564f299eb633156a60d81055a352eb,WBTC,Wrapped BTC,USDC,USD Coin
12376059,1620242126,0x1Faf5e8f78E71e75c7427c2EF733F15e735113eB,0x632E675672F2657F227da8D9bB3fE9177838e726,0xB4EFd85c19999D84251304bDA99E90B92300Bd93,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x53ea99bb179ab078b7c0b0b32e35b0a9e5f4689377ed78bdabe43ecb775652b1,RPL,Rocket Pool,WETH,Wrapped Ether
12376059,1620242126,0x0a6417B2D8b6cb55B1751b5A46289972d33e424C,0xC9c3D642cFEfC60858655D4549CB5AcD5495E90E,0x221657776846890989a759BA2973e427DfF5C9bB,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x84f9f677b5d7f572aa414a37c1cff25108707162275fa89808dfb2f65e32c706,REPv2,Reputation,USDC,USD Coin
