pool_address,token0_address,token1_address,token0_bal,token1_bal,lp_supply,token0_symbol,token1_symbol,block,ts
0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,35754367.504419,19052.805517153094,0.3826902917571699,USDC,WETH,17002087,1680937343
0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,35670403.693628,19098.72571261761,0.3826907808321879,USDC,WETH,17005087,1680974159
0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,35505543.030121,19118.21492138586,0.3819907808321879,USDC,WETH,17008087,1681010759
0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,35337397.498376,19210.30457688393,0.3819907808321879,USDC,WETH,17011087,1681047527
0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,35525210.299585,19067.210065337,0.38155952965798373,USDC,WETH,17014087,1681084451
0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,35502532.846752,19080.03517154077,0.38155952965798373,USDC,WETH,17017087,1681121027
0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,35772899.341534,18937.909758798483,0.38156096843066073,USDC,WETH,17020087,1681157843
0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,35901153.829025,18723.988701532497,0.3800605616120553,USDC,WETH,17023087,1681194527
0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,35828185.500999,18764.440490278193,0.3800605616120553,USDC,WETH,17026087,1681231283
0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,35386624.087699,19000.820976382343,0.3800605616120553,USDC,WETH,17029087,1681267919
0xAE461cA67B15dc8dc81CE7615e0320dA1A9aB8D5,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,13002145.291995903,12979224.819237,11.519078660239646,DAI,USDC,17002087,1680937343
0xAE461cA67B15dc8dc81CE7615e0320dA1A9aB8D5,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,13002082.857470099,12979288.208407,11.519078660239646,DAI,USDC,17005087,1680974159
0xAE461cA67B15dc8dc81CE7615e0320dA1A9aB8D5,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,13002647.728478692,12978727.607064,11.519078660239646,DAI,USDC,17008087,1681010759
0xAE461cA67B15dc8dc81CE7615e0320dA1A9aB8D5,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,12993923.569926342,12987470.882159,11.519078916927961,DAI,USDC,17011087,1681047527
0xAE461cA67B15dc8dc81CE7615e0320dA1A9aB8D5,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,12992946.572679605,12988470.359037,11.519078916927961,DAI,USDC,17014087,1681084451
0xAE461cA67B15dc8dc81CE7615e0320dA1A9aB8D5,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,12993338.58371239,12988080.449254,11.519078916927961,DAI,USDC,17017087,1681121027
0xAE461cA67B15dc8dc81CE7615e0320dA1A9aB8D5,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,12995663.838010084,12985779.407417,11.519078916927961,DAI,USDC,17020087,1681157843
0xAE461cA67B15dc8dc81CE7615e0320dA1A9aB8D5,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,12997644.295517137,12983847.823264,11.519078916927961,DAI,USDC,17023087,1681194527
0xAE461cA67B15dc8dc81CE7615e0320dA1A9aB8D5,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,12996559.175295373,12984937.892929,11.519078916927961,DAI,USDC,17026087,1681231283
